Model,Train MAE,Train RMSE,Train R2,OOF MAE,OOF RMSE,OOF R2,Test MAE,Test RMSE,Test R2
elasticnet,1.043,1.399,0.49,1.144,1.58,0.398,1.122,1.283,-0.006
lasso,1.024,1.377,0.506,1.173,1.592,0.388,1.141,1.292,-0.019
xgb,0.227,0.296,0.977,1.208,1.654,0.34,1.201,1.52,-0.411
catboost,0.63,0.775,0.844,1.19,1.658,0.336,1.22,1.42,-0.232
ridge,0.974,1.285,0.57,1.354,1.822,0.199,1.072,1.286,-0.01
dumb_model,2.796,3.228,-1.714,2.766,3.212,-1.491,2.403,2.688,-3.411
linear,0.981,1.283,0.571,9.73,25.658,-157.904,1.074,1.294,-0.023
