Model,Train MAE,Train RMSE,Train R2,OOF MAE,OOF RMSE,OOF R2,Test MAE,Test RMSE,Test R2
elasticnet,0.89,1.144,0.625,1.113,1.372,0.506,2.497,4.785,0.726
lasso,0.878,1.132,0.633,1.12,1.381,0.5,2.41,4.552,0.752
ridge,0.861,1.126,0.638,1.12,1.424,0.468,2.345,4.52,0.756
linear,0.854,1.093,0.658,1.143,1.505,0.406,2.414,4.173,0.792
xgb,0.243,0.44,0.945,1.109,1.518,0.396,3.628,8.529,0.131
catboost,0.279,0.339,0.967,1.157,1.563,0.36,3.552,8.469,0.143
dumb_model,2.734,3.14,-1.821,2.718,3.139,-1.584,5.072,9.407,-0.057
