model,sample,MAE,RMSE,R2,MAPE_pct
dumb_model,train,2.734035181492731,3.140295193757568,-1.8206368504400614,100.0
dumb_model,OOF_train,2.718195008640799,3.139074538902214,-1.5844423909702416,100.0
dumb_model,test,5.072268289320748,9.406728080826298,-0.057466576011051984,100.0
